state,hour_utc,weekday,spread_bucket,n,best_pf,sl_mult,tp_mult,step_pips,lock_pips,max_hold_sec,n_trades,pf_h180,pf_h300,pf_h600,pf_h900,tr_h180,tr_h300,tr_h600,tr_h900,error
SQUEEZE,21,0,low,2132,1.8083319483376625,3.0,1.0,0.4,0.5,900,711,1.8083319483376625,1.8083319483376625,1.8083319483376625,1.8083319483376625,711,711,711,711,
BREAKOUT,4,4,xhigh,486,1.8041063437913578,3.0,1.0,0.4,0.5,900,162,1.8041063437913578,1.8041063437913578,1.8041063437913578,1.8041063437913578,162,162,162,162,
TRENDBURST,0,0,xhigh,292,1.8002032905546688,3.0,1.0,0.4,0.5,900,97,1.8002032905546688,1.8002032905546688,1.8002032905546688,1.8002032905546688,97,97,97,97,
SQUEEZE,18,4,high,255,1.7705909218128604,3.0,1.0,0.4,0.5,900,85,1.7705909218128604,1.7705909218128604,1.7705909218128604,1.7705909218128604,85,85,85,85,
SQUEEZE,4,2,high,351,1.7670837590762358,3.0,1.0,0.4,0.5,900,117,1.7670837590762358,1.7670837590762358,1.7670837590762358,1.7670837590762358,117,117,117,117,
TRENDBURST,21,4,low,1290,1.7522502075745148,3.0,1.0,0.4,0.5,900,430,1.7522502075745148,1.7522502075745148,1.7522502075745148,1.7522502075745148,430,430,430,430,
SQUEEZE,3,2,high,335,1.7132015044845652,3.0,1.0,0.4,0.5,900,112,1.7132015044845652,1.7132015044845652,1.7132015044845652,1.7132015044845652,112,112,112,112,
DEAD,1,2,low,206,1.703535049940006,3.0,1.0,0.4,0.5,900,69,1.703535049940006,1.703535049940006,1.703535049940006,1.703535049940006,69,69,69,69,
DEAD,21,2,mid,635,1.6833140228561059,3.0,1.0,0.4,0.5,900,212,1.6833140228561059,1.6833140228561059,1.6833140228561059,1.6833140228561059,212,212,212,212,
SQUEEZE,2,2,mid,429,1.6690114473516167,3.0,1.0,0.4,0.5,900,143,1.6690114473516167,1.6690114473516167,1.6690114473516167,1.6690114473516167,143,143,143,143,
DEAD,2,4,low,343,1.6632945312246568,3.0,1.0,0.4,0.5,900,114,1.6632945312246568,1.6632945312246568,1.6632945312246568,1.6632945312246568,114,114,114,114,
NEUTRAL,5,0,xhigh,823,1.662520796910888,3.0,1.0,0.4,0.5,900,274,1.662520796910888,1.662520796910888,1.662520796910888,1.662520796910888,274,274,274,274,
TRENDBURST,23,1,xhigh,244,1.6601689001247908,3.0,1.0,0.4,0.5,900,81,1.6601689001247908,1.6601689001247908,1.6601689001247908,1.6601689001247908,81,81,81,81,
TRENDBURST,10,0,mid,1367,1.6530344384324822,3.0,1.0,0.4,0.5,900,456,1.6530344384324822,1.6530344384324822,1.6530344384324822,1.6530344384324822,456,456,456,456,
SQUEEZE,22,6,xhigh,593,1.6497716284695916,3.0,1.0,0.4,0.5,900,198,1.6497716284695916,1.6497716284695916,1.6497716284695916,1.6497716284695916,198,198,198,198,
TRENDBURST,21,6,mid,266,1.648332311280494,3.0,1.0,0.4,0.5,900,89,1.648332311280494,1.648332311280494,1.648332311280494,1.648332311280494,89,89,89,89,
BREAKOUT,5,2,mid,3029,1.6009645834912118,3.0,1.0,0.4,0.5,900,1010,1.6009645834912118,1.6009645834912118,1.6009645834912118,1.6009645834912118,1010,1010,1010,1010,
SQUEEZE,19,0,mid,582,1.5931167079626463,3.0,1.0,0.4,0.5,900,194,1.5931167079626463,1.5931167079626463,1.5931167079626463,1.5931167079626463,194,194,194,194,
TRENDBURST,1,3,xhigh,228,1.5593437412269642,3.0,1.0,0.4,0.5,900,76,1.5593437412269642,1.5593437412269642,1.5593437412269642,1.5593437412269642,76,76,76,76,
BREAKOUT,4,4,mid,2446,1.5575591131224602,3.0,1.0,0.4,0.5,900,815,1.5575591131224602,1.5575591131224602,1.5575591131224602,1.5575591131224602,815,815,815,815,
TRENDBURST,12,2,mid,1452,1.534137516452364,3.0,1.0,0.4,0.5,900,484,1.534137516452364,1.534137516452364,1.534137516452364,1.534137516452364,484,484,484,484,
BREAKOUT,10,0,mid,4565,1.5296904639834796,3.0,1.0,0.4,0.5,900,1522,1.5296904639834796,1.5296904639834796,1.5296904639834796,1.5296904639834796,1522,1522,1522,1522,
BREAKOUT,3,4,xhigh,471,1.5231042388437388,3.0,1.0,0.4,0.5,900,157,1.5231042388437388,1.5231042388437388,1.5231042388437388,1.5231042388437388,157,157,157,157,
SQUEEZE,5,4,high,291,1.518823966462174,3.0,1.0,0.4,0.5,900,97,1.518823966462174,1.518823966462174,1.518823966462174,1.518823966462174,97,97,97,97,
BREAKOUT,18,2,xhigh,237,1.5184400468105086,3.0,1.0,0.4,0.5,900,79,1.5184400468105086,1.5184400468105086,1.5184400468105086,1.5184400468105086,79,79,79,79,
